date,home_team,away_team,home_score,away_score,neutral,worldcup
2016-01-03,India,Afghanistan,2,1,0,0
2016-01-16,Gabon,Morocco,0,0,1,0
2016-01-16,Rwanda,Ivory Coast,1,0,0,0
2016-01-17,Angola,Cameroon,0,1,1,0
2016-01-17,Congo DR,Ethiopia,3,0,1,0
2016-01-18,Nigeria,Niger,4,1,1,0
2016-01-18,Tunisia,Guinea,2,2,1,0
2016-01-19,Mali,Uganda,2,2,1,0
2016-01-19,Zimbabwe,Zambia,0,1,1,0
2016-01-20,Morocco,Ivory Coast,0,1,1,0
2016-01-20,Rwanda,Gabon,2,1,0,0
2016-01-21,Cameroon,Ethiopia,0,0,1,0
2016-01-21,Congo DR,Angola,4,2,1,0
2016-01-22,Niger,Guinea,2,2,1,0
2016-01-22,Tunisia,Nigeria,1,1,1,0
2016-01-23,Uganda,Zambia,0,1,1,0
2016-01-23,Zimbabwe,Mali,0,1,1,0
2016-01-24,Ivory Coast,Gabon,4,1,1,0
2016-01-24,Rwanda,Morocco,1,4,0,0
2016-01-25,Cameroon,Congo DR,3,1,1,0
2016-01-25,Ethiopia,Angola,1,2,1,0
2016-01-26,Guinea,Nigeria,1,0,1,0
2016-01-26,Niger,Tunisia,0,5,1,0
2016-01-27,Uganda,Zimbabwe,1,1,1,0
2016-01-27,Zambia,Mali,0,0,1,0
2016-01-30,Cameroon,Ivory Coast,0,3,1,0
2016-01-30,Rwanda,Congo DR,1,2,0,0
2016-01-31,Tunisia,Mali,1,2,1,0
2016-01-31,Zambia,Guinea,0,0,1,0
2016-02-03,Congo DR,Guinea,1,1,1,0
2016-02-04,Mali,Ivory Coast,1,0,1,0
2016-02-07,Congo DR,Mali,3,0,1,0
2016-02-07,Guinea,Ivory Coast,1,2,1,0
2016-03-22,Cuba,Bermuda,2,1,0,0
2016-03-23,Antigua and Barbuda,Aruba,2,1,0,0
2016-03-23,Barbados,Curaçao,1,0,0,0
2016-03-23,Chad,Tanzania,0,1,0,0
2016-03-23,Guadeloupe,Suriname,0,0,0,0
2016-03-23,Guinea-Bissau,Kenya,1,0,0,0
2016-03-23,Martinique,British Virgin Islands,3,0,0,0
2016-03-23,São Tomé and Príncipe,Libya,2,1,0,0
2016-03-23,South Sudan,Benin,1,2,0,0
2016-03-23,Zambia,Congo,1,1,0,0
2016-03-24,Australia,Tajikistan,7,0,0,0
2016-03-24,Bahrain,Yemen,3,0,0,0
2016-03-24,Bolivia,Colombia,2,3,0,0
2016-03-24,Chile,Argentina,1,2,0,0
2016-03-24,China,Maldives,4,0,0,0
2016-03-24,Comoros,Botswana,1,0,0,0
2016-03-24,Djibouti,Liberia,0,1,0,0
2016-03-24,Ecuador,Paraguay,2,2,0,0
2016-03-24,Ghana,Mozambique,3,1,0,0
2016-03-24,Iran,India,4,0,0,0
2016-03-24,Iraq,Thailand,2,2,1,0
2016-03-24,Japan,Afghanistan,5,0,0,0
2016-03-24,Jordan,Bangladesh,8,0,0,0
2016-03-24,Korea Republic,Lebanon,1,0,0,0
2016-03-24,Madagascar,Central African Republic,1,1,0,0
2016-03-24,Oman,Guam,1,0,0,0
2016-03-24,Peru,Venezuela,2,2,0,0
2016-03-24,Qatar,Hong Kong,2,0,0,0
2016-03-24,Saudi Arabia,Malaysia,2,0,0,0
2016-03-24,Syria,Cambodia,6,0,1,0
2016-03-24,United Arab Emirates,Palestine,2,0,0,0
2016-03-24,Uzbekistan,Philippines,1,0,0,0
2016-03-24,Vietnam,Taiwan,4,1,0,0
2016-03-25,Algeria,Ethiopia,7,1,0,0
2016-03-25,Brazil,Uruguay,2,2,0,0
2016-03-25,Canada,Mexico,0,3,0,0
2016-03-25,El Salvador,Honduras,2,2,0,0
2016-03-25,Guatemala,USA,2,0,0,0
2016-03-25,Guinea,Malawi,0,0,0,0
2016-03-25,Haiti,Panama,0,0,0,0
2016-03-25,Ivory Coast,Sudan,1,0,0,0
2016-03-25,Jamaica,Costa Rica,1,1,0,0
2016-03-25,Mali,Equatorial Guinea,1,0,0,0
2016-03-25,Mauritania,Gambia,2,1,0,0
2016-03-25,Nigeria,Egypt,1,1,0,0
2016-03-25,Swaziland,Zimbabwe,1,1,0,0
2016-03-25,Tunisia,Togo,1,0,0,0
2016-03-26,Anguilla,Puerto Rico,0,4,0,0
2016-03-26,Aruba,St. Kitts and Nevis,0,2,0,0
2016-03-26,Bermuda,French Guyana,2,1,0,0
2016-03-26,British Virgin Islands,Dominica,0,7,0,0
2016-03-26,Burkina Faso,Uganda,1,0,0,0
2016-03-26,Burundi,Namibia,1,3,0,0
2016-03-26,Cameroon,South Africa,2,2,0,0
2016-03-26,Cape Verde,Morocco,0,1,0,0
2016-03-26,Congo DR,Angola,2,1,0,0
2016-03-26,Curaçao,Dominican Republic,2,1,0,0
2016-03-26,Mauritius,Rwanda,1,0,0,0
2016-03-26,Senegal,Niger,2,0,0,0
2016-03-26,Seychelles,Lesotho,2,0,0,0
2016-03-26,Sint Maarten,Virgin Islands,1,2,0,0
2016-03-27,Benin,South Sudan,4,1,0,0
2016-03-27,Botswana,Comoros,2,1,0,0
2016-03-27,Congo,Zambia,1,1,0,0
2016-03-27,Kenya,Guinea-Bissau,0,1,0,0
2016-03-27,Mozambique,Ghana,0,0,0,0
2016-03-28,Central African Republic,Madagascar,2,1,0,0
2016-03-28,Equatorial Guinea,Mali,0,1,0,0
2016-03-28,Libya,São Tomé and Príncipe,4,0,1,0
2016-03-29,Afghanistan,Singapore,2,1,1,0
2016-03-29,Angola,Congo DR,0,2,0,0
2016-03-29,Argentina,Bolivia,2,0,0,0
2016-03-29,Australia,Jordan,5,1,0,0
2016-03-29,China,Qatar,2,0,0,0
2016-03-29,Colombia,Ecuador,3,0,0,0
2016-03-29,Costa Rica,Jamaica,3,0,0,0
2016-03-29,Dominica,Martinique,1,4,0,0
2016-03-29,Dominican Republic,Barbados,2,0,0,0
2016-03-29,Egypt,Nigeria,1,0,0,0
2016-03-29,Ethiopia,Algeria,3,3,0,0
2016-03-29,French Guyana,Cuba,3,0,0,0
2016-03-29,Gambia,Mauritania,0,0,0,0
2016-03-29,Honduras,El Salvador,2,0,0,0
2016-03-29,India,Turkmenistan,1,2,0,0
2016-03-29,Iran,Oman,2,0,0,0
2016-03-29,Iraq,Vietnam,1,0,1,0
2016-03-29,Japan,Syria,5,0,0,0
2016-03-29,Lebanon,Burma,1,1,0,0
2016-03-29,Lesotho,Seychelles,2,1,0,0
2016-03-29,Liberia,Djibouti,5,0,0,0
2016-03-29,Malawi,Guinea,1,2,0,0
2016-03-29,Maldives,Bhutan,4,2,0,0
2016-03-29,Mexico,Canada,2,0,0,0
2016-03-29,Morocco,Cape Verde,2,0,0,0
2016-03-29,Namibia,Burundi,1,3,0,0
2016-03-29,Niger,Senegal,1,2,0,0
2016-03-29,Palestine,East Timor,7,0,0,0
2016-03-29,Panama,Haiti,1,0,0,0
2016-03-29,Paraguay,Brazil,2,2,0,0
2016-03-29,Philippines,Korea DPR,3,2,0,0
2016-03-29,Rwanda,Mauritius,5,0,0,0
2016-03-29,South Africa,Cameroon,0,0,0,0
2016-03-29,St. Kitts and Nevis,Antigua and Barbuda,1,0,0,0
2016-03-29,Sudan,Ivory Coast,1,1,0,0
2016-03-29,Suriname,Guadeloupe,3,2,0,0
2016-03-29,Tajikistan,Kyrgyzstan,0,1,0,0
2016-03-29,Togo,Tunisia,0,0,0,0
2016-03-29,Uganda,Burkina Faso,0,0,0,0
2016-03-29,United Arab Emirates,Saudi Arabia,1,1,0,0
2016-03-29,Uruguay,Peru,1,0,0,0
2016-03-29,USA,Guatemala,4,0,0,0
2016-03-29,Uzbekistan,Bahrain,1,0,0,0
2016-03-29,Venezuela,Chile,1,4,0,0
2016-03-29,Virgin Islands,Grenada,1,2,0,0
2016-05-28,New Zealand,Fiji,3,1,1,0
2016-05-28,Vanuatu,Solomon Islands,0,1,1,0
2016-05-29,Lithuania,Estonia,2,0,0,0
2016-05-29,Papua New Guinea,New Caledonia,1,1,0,0
2016-05-29,Tahiti,Samoa,4,0,1,0
2016-05-29,Abkhazia,Chagos Islands,9,0,1,0
2016-05-29,Iraqi Kurdistan,Székely Land,3,0,1,0
2016-05-29,Padania,Northern Cyprus,1,2,1,0
2016-05-29,Sápmi,Somaliland,5,0,1,0
2016-05-30,Chagos Islands,Western Armenia,0,12,1,0
2016-05-30,United Koreans in Japan,Székely Land,1,0,1,0
2016-05-30,Raetia,Padania,0,6,1,0
2016-05-30,Sápmi,Panjab,0,1,1,0
2016-05-31,Solomon Islands,Fiji,0,1,1,0
2016-05-31,Vanuatu,New Zealand,0,5,1,0
2016-05-31,Abkhazia,Western Armenia,1,0,1,0
2016-05-31,United Koreans in Japan,Iraqi Kurdistan,0,3,1,0
2016-05-31,Northern Cyprus,Raetia,7,0,1,0
2016-05-31,Somaliland,Panjab,0,5,1,0
2016-06-01,Curaçao,Guyana,5,2,0,0
2016-06-01,Grenada,Puerto Rico,3,3,0,0
2016-06-01,Latvia,Lithuania,2,1,0,0
2016-06-01,Martinique,Guadeloupe,2,0,0,0
2016-06-01,New Caledonia,Samoa,7,0,1,0
2016-06-01,Papua New Guinea,Tahiti,2,2,0,0
2016-06-01,St. Kitts and Nevis,Suriname,1,0,0,0
2016-06-01,United Koreans in Japan,Northern Cyprus,1,1,1,0
2016-06-01,Abkhazia,Sápmi,2,0,1,0
2016-06-02,Laos,India,0,1,0,0
